id	balance_id	name	amount	percentage	created_at	updated_at	invoice_id	invoice_date
517	170	Ica	0	1.1	20:59.3	20:59.3		
518	170	Chanchito	0	2.5	20:59.3	20:59.3		
519	170	Retefuente	-1716258.7	26	20:59.4	20:59.4		
520	170	kleerCo	-488473.63	10	20:59.4	20:59.4		
521	169	Ica	0	1.1	21:49.6	21:49.6		
522	169	Chanchito	0	2.5	21:49.6	21:49.6		
523	169	Retefuente	-2020963.62	26	21:49.6	21:49.6		
524	169	kleerCo	-575197.34	10	21:49.6	21:49.6		
768	163	Ica	580530.72	1.1	41:30.3	41:30.3		
769	163	Chanchito	1319388	2.5	41:30.3	41:30.3		
770	163	Retefuente	13526452.01	27	41:30.3	41:30.3		
771	163	kleerCo	3657151.84	10	41:30.3	41:30.3		
869	183	Ica	0	1.1	37:16.3	37:16.3		
870	183	Chanchito	0	2.5	37:16.3	37:16.3		
871	183	Retefuente	-87755.4	27	37:16.3	37:16.3		
872	183	kleerCo	-23726.46	10	37:16.3	37:16.3		
119	141	IVA	1026000	19	52:51.3	52:51.3		
120	141	Ica	59400	1.1	52:55.4	52:55.4		
121	141	Chanchito	135000	2.5	52:55.4	52:55.4		
122	141	Retefuente	1338640.42	26	52:55.4	52:55.4		
886	174	Ica	1650000	1.1	03:31.6	03:31.6		
123	141	kleerCo	380997.66	10	52:55.4	52:55.4		
626	175	IVA	394689.09	19	23:17.3	23:17.3		
209	133	Chanchito	0	0	54:40.9	54:40.9		
210	133	Ica	0	0	54:40.9	54:40.9		
211	133	Retefuente	0	0	54:40.9	54:40.9		
212	133	kleerCo	1063656.64	16	54:40.9	54:40.9		
213	128	Chanchito	0	0	55:08.0	55:08.0		
214	128	Ica	0	0	55:08.0	55:08.0		
215	128	Retefuente	0	0	55:08.0	55:08.0		
216	128	kleerCo	1251432	16	55:08.1	55:08.1		
217	148	Chanchito	0	0	55:32.5	55:32.5		
218	148	Ica	0	0	55:32.5	55:32.5		
219	148	Retefuente	0	0	55:32.6	55:32.6		
220	148	kleerCo	1189081.6	16	55:32.6	55:32.6		
136	152	Chanchito	0	0	41:12.2	41:12.2		
137	152	Ica	0	0	41:12.2	41:12.2		
138	152	Retefuente	0	0	41:12.3	41:12.3		
221	162	IVA	1007517.75	19	38:29.6	38:29.6		
392	167	IVA	3230000	19	09:58.5	09:58.5		
139	152	kleerCo	2595312.16	16	41:12.3	41:12.3		
140	161	IVA	3636600	19	16:01.1	16:01.1		
631	167	Ica	187000	1.1	26:55.6	26:55.6		
226	164	IVA	684000	19	40:53.9	40:53.9		
632	167	Chanchito	425000	2.5	26:55.7	26:55.7		
633	167	Retefuente	4169880	26	26:55.7	26:55.7		
634	167	kleerCo	1186812	10	26:55.7	26:55.7		
828	181	IVA	418319.2	19	44:40.8	44:40.8		
73	160	IVA	8360000	19	44:13.1	44:13.1		
833	181	IVA	222731.11	19	44:52.7	44:52.7		
78	145	IVA	2435800	19	49:11.9	49:11.9		
235	162	Chanchito	132568.13	2.5	18:29.5	18:29.5		
236	162	Ica	58329.98	1.1	18:29.5	18:29.5		
237	162	Retefuente	1320270.42	26	18:29.5	18:29.5		
238	162	kleerCo	375769.27	10	18:29.5	18:29.5		
157	147	Chanchito	0	0	41:55.4	41:55.4		
158	147	Ica	0	0	41:55.5	41:55.5		
87	145	Ica	141020	1.1	52:57.8	52:57.8		
88	145	Chanchito	320500	2.5	52:57.8	52:57.8		
89	145	Retefuente	3052697.18	26	52:57.8	52:57.8		
90	145	kleerCo	868844.58	10	52:57.8	52:57.8		
838	181	IVA	222731.11	19	45:04.6	45:04.6		
159	147	Retefuente	0	0	41:55.5	41:55.5		
160	147	kleerCo	1749319.52	16	41:55.5	41:55.5		
843	181	IVA	247478.99	19	45:18.9	45:18.9		
